Well,Turbidity,Strain
A1,0,D6
A2,0,D6
A3,0,D6
A4,0,D6
A5,0,D6
A6,0,D6
A7,0,D6
A8,0,D6
A9,0,D6
A10,0,D6
A11,0,D6
A12,0,D6
B1,0,D6
B2,0,D6
B3,0,D6
B4,0,D6
B5,0,D6
B6,0,D6
B7,0,D6
B8,0,D6
B9,0,D6
B10,0,D6
B11,0,D6
B12,0,D6
C1,0,D6
C2,0,D6
C3,0,D6
C4,0,D6
C5,0,D6
C6,0,D6
C7,0,D6
C8,0,D6
C9,0,D6
C10,0,D6
C11,0,D6
C12,0,D6
D1,0,D6
D2,0,D6
D3,0,D6
D4,0,D6
D5,0,D6
D6,0,D6
D7,0,D6
D8,0,D6
D9,0,D6
D10,0,D6
D11,0,D6
D12,0,D6
E1,1,SPO
E2,1,SPO
E3,1,SPO
E4,1,SPO
E5,1,SPO
E6,1,SPO
E7,1,SPO
E8,1,SPO
E9,1,SPO
E10,1,SPO
E11,1,SPO
E12,1,SPO
F1,1,SPO
F2,1,SPO
F3,1,SPO
F4,1,SPO
F5,1,SPO
F6,1,SPO
F7,1,SPO
F8,1,SPO
F9,1,SPO
F10,1,SPO
F11,1,SPO
F12,1,SPO
G1,1,SPO
G2,1,SPO
G3,1,SPO
G4,1,SPO
G5,1,SPO
G6,1,SPO
G7,1,SPO
G8,1,SPO
G9,1,SPO
G10,1,SPO
G11,1,SPO
G12,1,SPO
H1,1,SPO
H2,1,SPO
H3,1,SPO
H4,1,SPO
H5,1,SPO
H6,1,SPO
H7,1,SPO
H8,1,SPO
H9,1,SPO
H10,1,SPO
H11,1,SPO
H12,1,SPO
