Well,Event,Hour,Strain
A1,0,4,1
A2,0,4,1
A3,0,4,1
A4,0,4,1
A5,0,4,1
A6,0,4,1
A7,0,4,1
A8,0,4,1
A9,0,4,1
A10,0,4,1
A11,0,4,1
A12,0,4,1
B1,0,4,1
B2,0,4,1
B3,0,4,1
B4,0,4,1
B5,0,4,1
B6,0,4,1
B7,0,4,1
B8,0,4,1
B9,0,4,1
B10,0,4,1
B11,0,4,1
B12,0,4,1
C1,0,4,1
C2,0,4,1
C3,0,4,1
C4,0,4,1
C5,0,4,1
C6,0,4,1
C7,0,4,1
C8,0,4,1
C9,0,4,1
C10,0,4,1
C11,0,4,1
C12,0,4,1
D1,0,4,1
D2,0,4,1
D3,0,4,1
D4,0,4,1
D5,0,4,1
D6,0,4,1
D7,0,4,1
D8,0,4,1
D9,0,4,1
D10,0,4,1
D11,0,4,1
D12,0,4,1
E1,0,4,2
E2,0,4,2
E3,0,4,2
E4,0,4,2
E5,0,4,2
E6,0,4,2
E7,0,4,2
E8,0,4,2
E9,0,4,2
E10,0,4,2
E11,0,4,2
E12,0,4,2
F1,0,4,2
F2,0,4,2
F3,0,4,2
F4,0,4,2
F5,0,4,2
F6,0,4,2
F7,0,4,2
F8,0,4,2
F9,0,4,2
F10,0,4,2
F11,0,4,2
F12,0,4,2
G1,0,4,2
G2,0,4,2
G3,0,4,2
G4,0,4,2
G5,0,4,2
G6,0,4,2
G7,0,4,2
G8,0,4,2
G9,0,4,2
G10,0,4,2
G11,0,4,2
G12,0,4,2
H1,0,4,2
H2,0,4,2
H3,0,4,2
H4,0,4,2
H5,0,4,2
H6,0,4,2
H7,0,4,2
H8,0,4,2
H9,0,4,2
H10,0,4,2
H11,0,4,2
H12,0,4,2
